date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:59	762/762	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/nRrxfzewcNBLwrxl2ug2rcrpEfQoki.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/nRrxfzewcNBLwrxl2ug2rcrpEfQoki.webp	(from https://agrowealthcapitals.com/)
09:24:59	550/550	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/qRyaK5C2GjgZLkVlnMq14nHvBZtl2J.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/qRyaK5C2GjgZLkVlnMq14nHvBZtl2J.webp	(from https://agrowealthcapitals.com/)
09:25:00	682/682	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/zKu41PE9HJrJ0B4CXcD8wmUNZxLIkU.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/zKu41PE9HJrJ0B4CXcD8wmUNZxLIkU.webp	(from https://agrowealthcapitals.com/)
09:25:00	1120/1120	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/bWQjBj8LkreFpm0VINUps7NTGChqMv.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/bWQjBj8LkreFpm0VINUps7NTGChqMv.webp	(from https://agrowealthcapitals.com/)
09:25:01	1340/1340	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/7K5HBj2cuHmaPtGUJxTOF4YuKXLnUc.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/7K5HBj2cuHmaPtGUJxTOF4YuKXLnUc.webp	(from https://agrowealthcapitals.com/)
09:25:01	846/846	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/ssc56RKKBaveNXjaZN0OGtEjqjeGMS.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/ssc56RKKBaveNXjaZN0OGtEjqjeGMS.webp	(from https://agrowealthcapitals.com/)
09:25:01	1158/1158	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/g0WkJpI1Dt9Vrkd0DYRA1h5BnQqLj5.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/g0WkJpI1Dt9Vrkd0DYRA1h5BnQqLj5.webp	(from https://agrowealthcapitals.com/)
09:25:02	482/482	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/0HKaBihBU1PIFt9lzocOvfogUImcrR.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/0HKaBihBU1PIFt9lzocOvfogUImcrR.webp	(from https://agrowealthcapitals.com/)
09:25:02	598/598	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/8a9PvpqqbleuGsizZv8UmbMLtrGSHA.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/8a9PvpqqbleuGsizZv8UmbMLtrGSHA.webp	(from https://agrowealthcapitals.com/)
09:25:03	608/608	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/OEifQlGINjaBrXcpTUDUdceFkDPl50.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/OEifQlGINjaBrXcpTUDUdceFkDPl50.webp	(from https://agrowealthcapitals.com/)
09:25:03	2751/2751	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/title-bottom-shape.svg	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/title-bottom-shape.svg	(from https://agrowealthcapitals.com/)
09:25:03	1109/1109	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/title-top-shape.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/title-top-shape.png	(from https://agrowealthcapitals.com/)
09:25:04	819/819	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/title-top-left.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/title-top-left.png	(from https://agrowealthcapitals.com/)
09:25:04	1214/1214	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/wPdePJubMsXlMmTptJN0yUJ1X28BGN.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/wPdePJubMsXlMmTptJN0yUJ1X28BGN.webp	(from https://agrowealthcapitals.com/)
09:25:05	1230/1230	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/b5MU9T7Wvr11Z1VETr4MhDJuDB6Abm.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/b5MU9T7Wvr11Z1VETr4MhDJuDB6Abm.webp	(from https://agrowealthcapitals.com/)
09:25:05	1164/1164	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/iZin1ZB76ZDbS0EZPhSKbq5YL1qrRq.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/iZin1ZB76ZDbS0EZPhSKbq5YL1qrRq.webp	(from https://agrowealthcapitals.com/)
09:25:05	1200/1200	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/DCC1bEzoXkMTkmB6slhGcaZSNuh8zI.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/DCC1bEzoXkMTkmB6slhGcaZSNuh8zI.webp	(from https://agrowealthcapitals.com/)
09:25:07	52522/52522	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/Cyjsl3eiMZJrBd178DRZA3sK0wvtQ8.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/Cyjsl3eiMZJrBd178DRZA3sK0wvtQ8.webp	(from https://agrowealthcapitals.com/)
09:25:07	7694/7694	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/7Ftk2tJP4M2AIArGjfE2yax7DBSoxU.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/7Ftk2tJP4M2AIArGjfE2yax7DBSoxU.webp	(from https://agrowealthcapitals.com/)
09:25:08	2717/2717	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/dot-box-1.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/dot-box-1.png	(from https://agrowealthcapitals.com/)
09:25:09	8061/8061	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/line-shape-2.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/line-shape-2.png	(from https://agrowealthcapitals.com/)
09:25:09	778/778	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/title-top-left-2.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/title-top-left-2.png	(from https://agrowealthcapitals.com/)
09:25:09	350/350	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/wXhmQ6e5rS0p7nMHXkJzVRE9VHpKUh.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/wXhmQ6e5rS0p7nMHXkJzVRE9VHpKUh.webp	(from https://agrowealthcapitals.com/)
09:25:10	330/330	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/B9nEH0WsF21cCJMK4ZWrj2yqsKHspS.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/B9nEH0WsF21cCJMK4ZWrj2yqsKHspS.webp	(from https://agrowealthcapitals.com/)
09:25:10	356/356	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/m41yPJKh5TpEmjTlC25w2B0ehDMJmI.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/m41yPJKh5TpEmjTlC25w2B0ehDMJmI.webp	(from https://agrowealthcapitals.com/)
09:25:11	270/270	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/woW6pHTNo25VTl1C8IE1v2WKGAG9L0.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/woW6pHTNo25VTl1C8IE1v2WKGAG9L0.webp	(from https://agrowealthcapitals.com/)
09:25:13	320462/320462	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/light-left.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/light-left.png	(from https://agrowealthcapitals.com/)
09:25:13	8774/8774	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/dollor.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/dollor.png	(from https://agrowealthcapitals.com/)
09:25:13	1943/1943	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/title-top-left-3.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/title-top-left-3.png	(from https://agrowealthcapitals.com/)
09:25:14	142556/142556	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/project/H5nwDgkkBOdxMtaNBt9PXMOen9oZuA.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/project/H5nwDgkkBOdxMtaNBt9PXMOen9oZuA.webp	(from https://agrowealthcapitals.com/)
09:25:15	429034/429034	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/light-1.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/light-1.png	(from https://agrowealthcapitals.com/)
09:25:16	67350/67350	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/project/9ax04liSCw1EzoOb1gShJpyLRtdZhJ.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/project/9ax04liSCw1EzoOb1gShJpyLRtdZhJ.webp	(from https://agrowealthcapitals.com/)
09:25:17	23781/23781	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/shape-03.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/shape-03.png	(from https://agrowealthcapitals.com/)
09:25:17	102622/102622	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/project/FCIzIHvlTGVYVSjJ8OvmR6OMz8F7VY.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/project/FCIzIHvlTGVYVSjJ8OvmR6OMz8F7VY.webp	(from https://agrowealthcapitals.com/)
09:25:18	518584/518584	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/project/FBHjs6sgzkp3tJ8rQXNacjhQDP4Ada.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/project/FBHjs6sgzkp3tJ8rQXNacjhQDP4Ada.webp	(from https://agrowealthcapitals.com/)
09:25:18	22886/22886	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/Ueo3X9wMrLFTBZFitjxZUjqZfkxlsT.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/Ueo3X9wMrLFTBZFitjxZUjqZfkxlsT.webp	(from https://agrowealthcapitals.com/)
09:25:19	3076/3076	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/dot-box-2.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/dot-box-2.png	(from https://agrowealthcapitals.com/)
09:25:19	1864/1864	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/farming-right-shape.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/farming-right-shape.png	(from https://agrowealthcapitals.com/)
09:25:21	143678/143678	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/project/PXj2ObdJmYS7ekwtyp0WXgzguM46gs.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/project/PXj2ObdJmYS7ekwtyp0WXgzguM46gs.webp	(from https://agrowealthcapitals.com/)
09:25:21	94732/94732	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/project/JC8DNwzWQsIJr65ezoiBvsaV1DPSZ5.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/project/JC8DNwzWQsIJr65ezoiBvsaV1DPSZ5.webp	(from https://agrowealthcapitals.com/)
09:25:23	496686/496686	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/project/NcXdBctZjSoZmJ68u9qY1MpmCghZuP.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/project/NcXdBctZjSoZmJ68u9qY1MpmCghZuP.webp	(from https://agrowealthcapitals.com/)
09:25:23	1051/1051	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/title-top-shape-2.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/title-top-shape-2.png	(from https://agrowealthcapitals.com/)
09:25:23	170706/170706	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/project/J4OgXiYLHhkJq9l2jzKS9RUDUant1v.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/project/J4OgXiYLHhkJq9l2jzKS9RUDUant1v.webp	(from https://agrowealthcapitals.com/)
09:25:23	1702/1702	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/plan/2M8tovrePBLdqo0RUlOvG9CfgZDlvv.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/plan/2M8tovrePBLdqo0RUlOvG9CfgZDlvv.webp	(from https://agrowealthcapitals.com/)
09:25:23	1434/1434	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/plan/79e2IfGwDKgM7vjFpswsXBLc7LeROF.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/plan/79e2IfGwDKgM7vjFpswsXBLc7LeROF.webp	(from https://agrowealthcapitals.com/)
09:25:24	1680/1680	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/plan/EI5o6DkRt86RZuI7rm8IoNdoFyr49g.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/plan/EI5o6DkRt86RZuI7rm8IoNdoFyr49g.webp	(from https://agrowealthcapitals.com/)
09:25:24	1702/1702	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/plan/E8eDbOG3TKdjDdMCBdATPPvv2oGM5E.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/plan/E8eDbOG3TKdjDdMCBdATPPvv2oGM5E.webp	(from https://agrowealthcapitals.com/)
09:25:25	1434/1434	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/plan/KeIa9UDXcdcIeNxLk9CRAAUTq3ZVgV.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/plan/KeIa9UDXcdcIeNxLk9CRAAUTq3ZVgV.webp	(from https://agrowealthcapitals.com/)
09:25:25	1680/1680	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/plan/53PVRywbEOBWcQNjpvAVRvYRONFtRq.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/plan/53PVRywbEOBWcQNjpvAVRvYRONFtRq.webp	(from https://agrowealthcapitals.com/)
09:25:25	3719/3719	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/dollor-2.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/dollor-2.png	(from https://agrowealthcapitals.com/)
09:25:26	15792/15792	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/earth-round.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/earth-round.png	(from https://agrowealthcapitals.com/)
09:25:26	4900/4900	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/skoXBtoOsAn6YOPdg57Pyo2kT6J3S9.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/skoXBtoOsAn6YOPdg57Pyo2kT6J3S9.webp	(from https://agrowealthcapitals.com/)
09:25:27	5026/5026	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/pFdo4ptqourSzy21NvdTWx1RKqVf8D.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/pFdo4ptqourSzy21NvdTWx1RKqVf8D.webp	(from https://agrowealthcapitals.com/)
09:25:27	4478/4478	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/upload/contents/yWjRvkGyS5xr6zwu00AO5fKGyOed4g.webp	C:/webby/agro/agrowealthcapitals.com/assets/upload/contents/yWjRvkGyS5xr6zwu00AO5fKGyOed4g.webp	(from https://agrowealthcapitals.com/)
09:25:27	1604/1604	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Nov%202024%2006:00:00%20GMT	https://agrowealthcapitals.com/assets/themes/light/images/shape/dot-box-3.png	C:/webby/agro/agrowealthcapitals.com/assets/themes/light/images/shape/dot-box-3.png	(from https://agrowealthcapitals.com/)
